"vsrl_a6321","vsrl_a6335","vsrl_a6340","sirenidetablissementaffectationiddeclaration","nicidetablissementaffectationiddeclaration","anneemoisconstitutionidsignalement","natureiddeclaration","statutdeclaration","typedeclaration","ordre","fraction","statutenveloppe","idenvarchive","ididarchivedsn","datemodification","versionnorme","pointdepot","modedepot","origineflux","type","idtpt"
"19781525","18183057","30858248","511428658","00013","202210","07","01","01","221014125218024","1","01","000001","WSGanGLdBP5Pb-OBGDFEYPX","2022-10-14 13:01:38.733","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19781549","18183073","30858290","511428658","00013","202210","07","01","01","221014125222092","1","01","000001","WSqOrOfuyPumrGLBwJTBctR","2022-10-14 13:01:46.671","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19781550","18183074","30858292","511428658","00013","202210","07","01","01","221014125222092","1","01","000001","WSqOrOfuyPumrGLBwJTBctR","2022-10-14 13:01:46.973","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19187919","\N","\N","514291236","00016","202209","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19189548","\N","\N","514291236","00016","202209","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19187922","\N","\N","514291236","00016","202209","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19188105","\N","\N","514291236","00016","202209","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18859138","\N","\N","514727593","00014","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18859454","\N","\N","514727593","00014","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18859412","\N","\N","514727593","00014","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18859554","\N","\N","514727593","00014","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18859430","\N","\N","514727593","00014","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18859555","\N","\N","514727593","00014","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19764223","18167054","30829324","530790872","00010","202210","07","01","01","221013143639427","1","01","000001","WSgrMhnyj5NBZeHRrR8.Gd0","2022-10-13 14:50:51.265","P22V01","02","MtoM","MSADO","DSN","\N"
"19764224","18167055","30829326","530790872","00010","202210","07","01","01","221013143639427","1","01","000001","WSgrMhnyj5NBZeHRrR8.Gd0","2022-10-13 14:50:51.743","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19547207","\N","\N","752743716","00025","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"19547531","\N","\N","752743716","00025","202210","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18975910","\N","\N","776638934","00013","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18976021","\N","\N","776638934","00013","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18915614","\N","\N","835397845","00016","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18915763","\N","\N","835397845","00016","202208","07","01","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N","\N"
"18991923","17469866","29621412","844817080","00014","202208","07","01","01","220819144538224","1","01","000001","WS2MBMYJxLM.68MtG1OZZNC","2022-08-19 14:50:42.838","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"18991924","17469867","29621415","844817080","00014","202208","07","01","01","220819144538224","1","01","000001","WS2MBMYJxLM.68MtG1OZZNC","2022-08-19 14:50:43.605","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19372981","17802044","30199071","900318445","00013","202209","07","01","01","220914143222522","1","01","000001","WS54ZwJ1h8Zl7XE9n8T8IwO","2022-09-14 14:36:09.683","P22V01","02","MtoM","CTIP","DSN_OC","\N"
"19372982","17802045","30199072","900318445","00013","202209","07","01","01","220914143222522","1","01","000001","WS54ZwJ1h8Zl7XE9n8T8IwO","2022-09-14 14:36:09.863","P22V01","02","MtoM","CTIP","DSN_OC","\N"
